용어,설명
"병가 [sick leave, 病暇]","병가군사용어사전 군의관의 진단 결과로 군인에게 허가하는 요양휴가로서, 이는 통상 질환 회복기에 있는 군인에게 부여됨. 외국어 표기 病暇(한자), sick leave(영어) 병가행정학사전 심신의 질병으로 인해 얻는 휴가를 말한다. 외국어 표기 病暇(한자), sick leave(영어)"
"보조낙하산 [auxiliary parachute, pilot parachute, 補助落下傘]","보조낙하산군사용어사전 주 낙하산이 펴지도록 예인 작용을 하는 조그마한 보조용 낙하산. 외국어 표기 補助落下傘(한자), pilot parachute(영어) 보조낙하산항공우주공학용어사전 낙하산이 펴지지 않을 때 보조로 사용할 수 있도록 한 앞에 달린 낙하산. 외국어 표기 auxiliary parachute(영어)"
"가구공사 [架構工事, Scaffolding works]",재료를 조립하여 만든 구조물 공사.
"경계의 원칙 [警戒-原則, principle of security]","적의 기습을 방지하고, 혼란을 회피하고, 행동의 자유를 확보하며, 계획과 분화된 정보의 총합을 유지시켜 주며, 목표를 달성할 수 있는 능력을 보존시키는 전쟁원칙."
"권총저격수 [拳銃狙擊手, pistol sharpshooter]",권총 특등사수로서 선발되어 적의 주요 인물을 저격하도록 훈련된 인원.
"기동중사격 [機動中射擊, fire from a moving tank]",전술상황 하에서 갑자기 출현하는 지역목표 및 돌연표적에 대하여 기동하면서 적을 제압하는 사격.
"내부보안 [內部保安, internal security]",부대의 관할 내에 들어온 비밀 취급 물건을 보호하기 위하여 한 부대가 취하는 보안 대책.
"돌격단계 [突擊段階, Assault Phase]",상륙기동부대의 주요돌격부대가 목표지역에 도착해서부터 상륙기동부대의 임무를 완수할 때까지의 기간.
"동원지정업체 [動員指定業體, Appointed Companies for Mobilization]",평시에는 당해업체 고유업종의 영업활동을 하나 전시 또는 비상시에는 국가동원령에 의하여 동원되어 군수물자 또는 전시 민수물자의 생산이나 용역에 전용되는 업체.
"동원편성 [動員編成, Mobilization Organization]","전시편제에 따라 전시 증편·창설 또는 손실 보충을 위하여 예비군자원으로 동원지정을 하고 이들에게 보직을 부여하는 등 전시 증·창설부대를 대상으로 편성, 관리하는 것."
"레이더 영상 [-映像, radar imagery]",목표의 표면으로부터 반사되는 레이더 파를 기록함으로써 만들어진 영상.
"레이더 위장 [-僞裝, radar camouflage]",레이더 탐지를 방지하기 위하여 전자파의 반사를 감쇄하는 기술 또는 수단.
노오스 [not operationally ready for supplies],부속결함으로 인한 항공기의 가동 불가능한 상태.
"대인지뢰 [對人地雷, anti-personnel mine]",인원 살상을 목적으로 제조된 지뢰.
"대전차 무기체계 [對戰車武器體系, Anti-Tank Weapon System]","전장에서 적의 전차군에 대한 공격을 효과적으로 수행하기 위해 개발된 일련의 무기그룹으로써 보병의 대전차 무기를 비롯한 각종의 화기, 유도탄, 항공기, 차량 등이 포함됨."
"대화기사격 [對火器射擊, Counterfire]","적의 무기를 파괴하거나 제압하기 위한 사격. 대포병사격, 대함포사격, 대박격포사격이 포함됨."
러더포드 [rutherford],방사능의 강도를 표시하는 단위. 1초에 100만개 붕괴가 일어나는 방사선 물질의 양을 1rd라고 함.
"매가진형 탄약고 [-型彈藥庫, Powder Magazine]",탄약 및 폭발물을 저장하기 위하여 지상 또는 지하에 구축한 저장용 구조물(일반적으로 조립하여 만든 건축물은 제외).
"방향유도 [方向誘導, lateral guidance]",포목선(砲目線)사이의 오차를 좌우로 유도하는 것.
"사격지속률 [射擊持續率, sustained rate of fire]",심한 과열을 하지 않고 계속하여 사격할 수 있는 화기의 실제 사격률.
"산병선 [散兵線, skirmish line]","1. 전술연습이나 공격 중에 부대가 넓게 옆으로 벌린 선. 2. 넓은 간격에 불규칙하게 배치된 보병의 선으로, 일반적으로 군인들이 넓은 간격을 두고 싸우는 화선(火線)을 말함."
"상륙철수 [上陸撤收, Amphibious Withdrawl]","적 해안으로부터 함정이나 주정, 또는 항공기를 이용하여 부대를 철수시키는 상륙작전의 한 형태."
"상반각 [上反角, dihedral angle]",1. 날개가 뿌리부터 선단을 향해서 올라간 각도. 2. 날개를 쳐들었을 때 생기는 각.
"선도거리표 [先導距離表, Lead Table]","목표거리, 이동속도 및 방향 등과 같은 여러 조건을 이동목표에 적중시키는 데 필요한 선도거리를 산출하는 도표 또는 도식."
"설물 [泄物, Scrap]",그 물자를 구성하고 있는 원질 외에는 하등의 가치가 없는 물자로 이는 물품의 형태에 의하여 식별되며 중량단위로 처리됨.
스카이 레이더 AD [Skyraider AD],"단식(單式) 왕복기관식 엔진의 일반용 요격기. 항공모함으로부터 행동할 수 있도록 설계되어 있으며 비교적 장거리 항행, 저고도(低高度)의 핵 및 비핵무기 투하, 기뢰부설, 정찰, 어뢰투하 및 부대지원이 가능함."
"자폭 [自爆, self-determination]","항공기, 함정 등이 적에게 피격되어 나포되려는 상황 하에 있을 때 스스로를 폭파하여 파괴되거나 침몰되는 것."
"작전동원 [作戰動員, Operational Mobilization]","1. 전시, 사변 또는 이에 준하는 국가비상사태에서 주요전투부대의 편성이나 작전수요를 위한 동원에 대비하기 위하여 사전에 개인에게 작전동원명령서를 교부해 두었다가 유사시 예비군을 동원하는 것. 2. 적 또는 무장공비의 출현 등 긴급한 사태에 예비군설치법 제5조에 의해 수임부대장이 예비군을 동원하는 것."
"저지 [沮止, Blocking]",1. 병력이나 화력 장애물 또는 화력과 장애물의 협조에 의해 적의 행동을 정지시키거나 방해하는 방어행동. 2. 접근로에 장애물을 설치하여 적의 전진이나 이동을 못하게 하는 것.
"적극방공 [積極防空, Active Air Defense]","적 공중공격을 제거하거나 또는 그 효율성을 감소하기 위하여 취하는 직접방어활동. 항공기, 대공포, 대전자수단 그리고 지대공 유도 미사일 사용 등의 대책이 포함됨."
"전격전 [電擊戰, Blitzkrieg]","공군의 지원 하에 기갑 및 기계화 부대로 적의 제1선을 신속히 돌파하여 후방으로 깊숙이 진격함으로서 적을 양단시키고, 양단된 적 부대를 후속하는 보병부대로 하여금 각개격파 하도록 하는 전법. 제1차 세계대전 후 퓰러(T.F.C. Fuller)와 리델하트(B.H. Liddel Hart)에 의해 후티어 전술의 문제점을 분쇄하기 위한 기습적인 기동으로써 공격을 실..."
"전쟁원칙 [戰爭原則, Principle of War]",1. 전쟁수행을 지배하는 기본적인 원리를 말함. 이러한 전쟁의 원칙은 전쟁법칙과 원리에 기초를 두고 있으나 경험요소에 의해 산출된 것으로서 전쟁원칙의 적절한 적용은 지휘권 행사와 군사작전을 성공적으로 수행하는 데 대단히 중요함. 2. 무수한 전례를 통하여 승리를 보장 할 수 있는 원칙이라고 판단되는 공통적인 내용을 정리한 것으로 이것을...
"전투지원수준 [戰鬪支援水準, Combat Support Level]",전투작전을 지원하기 위하여 평시 수준에 추가해서 소요되는 보급품의 수량임.
"점령 [占領, Occupation]",점령은 다른 국가나 그 지역을 영구히 점유(통치)할 의사가 있을 경우에 점령이라 부름.
"접적이탈 [接敵離脫, Disengagement]","적과의 접촉을 끊고, 적으로부터 관측도 되지 않고 직접사격에 의한 교전도 되지 않는 지점으로 이동하는 것."
"정찰 [偵察, Reconnaissance]","시각 관측이나 기타 탐지방법에 의하여 적이나 잠재적인 적 활동과 자원에 관한 첩보를 입수하거나 특정지역의 기상, 수로 또는 지리적 특성에 관한 제원을 획득하기 위하여 실시하는 임무."
"조함 [操艦, Ship Handling]","출입항, 협수로 통과 및 작전기동 등 함정의 이동을 지휘하는 기술."
"직제 [職制, Organization of Office]","국방부 및 그 소속기관, 합동참모본부, 각군본부 및 해병대 사령부 등의 설치근거가 되는 대통령령을 말하며, 직제에는 조직의 설치목적, 임무, 지휘관과 그 보좌기구 및 참모부서의 조직과 분장업무에 관한 사항, 주요 직위에 대한 계급, 정원 등이 포함됨."
"측지통제 [測地統制, survey control]","가상측량원점 또는 진정측량원점에 따라, 측량에 의하여 어떤 점 또는 수정된 위치를 결정하여 전반측량의 기준으로 하는 것."
"항공모함 [航空母艦, Aircraft Carrier]","전투기를 탑재, 발진 및 착함시킬 수 있는 능력을 갖춤으로써 해군기동부대의 중심세력으로서의 역할을 수행하는 함정. 항공모함은 보이지 않는 먼 거리에서 신속히 적에게 접근, 항공기를 발진하여 공격하고 착함시켜 위치를 노출함..."
"혼성공중타격부대 [混成空中打擊部隊, Composite Air Strike Force]","핵 및 비핵무기를 혼합하여 사용할 수 있는 전술 공군부대(전술용 전투기, 전술정찰기, 급유기, 공수기 및 지휘통제부대)의 적절한 단위대를 선정하여 구성한 미 공군부대. 이 부대는 국가적 긴급우발사태에 대비하여 본토에서 세계의 어느 지역에라도 즉각 전개할 전비태세를 갖추고 있음."
중앙처리장치,중앙 처리 장치IT용어사전 프로그램의 명령을 수행하여 다양한 입력 장치로부터 데이터를 받아서 기억장치와 연계하여 처리한 후 출력 장치로 보내는 모든 과정을 제어하고 연산하는 장치. 중앙 처리 장치(CPU)는 컴퓨터의 가장 중요한 부분으로 연산과 제어회로가 포함되어 있다. 컴퓨터 시스템에서 데이터는 입력 장치를 통해 입력되어 주기억 장...
개인위생,"개인 위생체육학대사전 개인의 생활 활동이나 환경의 조정에 의해 건강에 유익한 것은 조장하고 해로운 것은 제거하여 건강을 유지, 증진시키는 것. 생활 행동의 리듬, 의•식•주의 위생, 운동 위생, 질병 예방, 정신 위생, 성 교육, 안전 교육과 구급 조치 등이 있다. 외국어 표기 個人衛生(한자), personal(individual) health(영어) 분야 위생 개인위생군사용..."
"공격개시선 [line of departure, 攻擊開始線]","공격개시선군사용어사전 1. 돌격주정 제1파가 예정시간에 지정된 해안에 상륙할 수 있도록 해상에 적절히 표시한 조정선으로 대략 상륙해안과 평행되게 해상에 지정되는 선이며 이 선을 연해 계속되는 주파가 해안으로 최종적인 이동을 위해 전개하는 곳임. 2. 공격 또는 정찰부대가 공격방향과 시간을 협조하고, 공격임무를 수행할 위치를 지정한 선..."
"불시착 [forced landing, 不時着]","불시착군사용어사전 1. 항공기가 계속 비행이 곤란한 상태 하에서 어느 곳에서나 적당한 곳에 착륙하는 것. 2. 계획된 착륙지역이 아닌 곳에 착륙하는 것. 외국어 표기 不時着(한자), Forced Landing(영어) 불시착항공우주공학용어사전 정상적인 착륙이 안 되는 상황에서 어쩔 수 없이 지상 혹은 해수면에 동체를 강제 착륙하는 것. 외국어 표기 forced lan..."
박명,"박명군사용어사전 일출전이나 일몰후 대기 중에 떠 있는 미세한 물질이나 먼지가 태양광선을 반사하여 희미하게 밝은 현상. 통상 일출 45분 전부터 일출까지를 해상 박명초(BMNT), 일몰시부터 15분 후까지를 해상 박명종(EENT)이라 함. 외국어 표기 薄明(한자), Twilight(영어) 박명광용어사전 해뜨기 전과 해가 진 후의 얼마 동안은 지상에는 태양 빛..."
"방사능 붕괴 [radioactive decay, 放射能崩壞]","방사능붕괴해양과학용어사전 어떤 핵종이 새로운 핵종으로 자연 발생적인 원자의 붕괴. 방사성 원소는 좀더 안정되거나 안정된 핵종으로 완전히 바뀔 때까지 자연 붕괴함. 방사능 붕괴는 알파(α) 입자들, 베타(β) 입자들, 다른 활동적인 입자들의 방출을 포함하며 통상 감마(γ)선의 방사와 원자의 진정현상(de-excitation)이 동반되며 이것은 항상 열의..."
"시험비행 [test flight, 試驗飛行]","시험비행항공우주공학용어사전 1) 항공기 또는 항공기 구성품의 조사운용, 비행특성을 목적으로 수행되는 비행. 2) 실제로 비행하면서 항공기의 성능을 확인하는 방법. 시험 비행의 목적은 연구, 이론의 실증. 새로 개발한 항공기의 감항성 확인 등에 있음. 외국어 표기 test flight(영어) 시험비행군사용어사전 항공기, 로켓, 유도탄 또는 기타의 운반체..."
"견제공격 [diversionary attack, holding attack, 牽制攻擊]","견제공격군사용어사전 1. 적의 방어중점을 주공으로부터 다른 곳으로 전환시킬 목적으로 주목표 이외에 지향하는 공격. 2. 적을 한 곳에 묶어 두기 위하여 실시하는 공격으로, 주공의 위치를 기만하고, 주공 정면에 예비대의 증원방지와 투입 장소를 그릇되게 하기 위하여 조공이 실시하는 공격임. 견제공격군사용어사전 적을 현 진지에 고착시키거나..."
거짓말탐지기,"거짓말탐지기간호학대사전 피검자(被檢者)가 질문을 받거나, 관련(關聯)ㆍ비관련어구(非關聯語句)의 연상어(聯想語)를 말하도록 요구받을 때에 호흡, 전기피부반사(電氣皮膚反射), 혈압등 생리적 변화를 측정하는 기기(機器). 그 생리적 변화와 정신감동(精神感動)의 관련으로 피검자가 진실을 말하고 있는지 아닌지를 판정한다. 외국어 표기 lie detecto..."
"고등비행 [aerobatics, 高等飛行]",고등 비행체육학대사전 비행기의 자세•고도를 급격히 변화시키는 조종법. 특수 비행•곡기(曲技) 비행이라고도 한다. 제1차 세계대전 중 공중전에서 적기를 고정기총(固定機銃)의 사격 조준권 내에 넣기 위하여 발달하였으나 그 후 조종기량의 공개 등에 이용되고 있다. 그 종류로는 수직선회•환상선(環狀線)선회•횡전(橫轉)•급반전•급상승•급강하 등이...
"교통밀도 [traffic density, 交通密度]","교통 밀도토목용어사전 도로 또는 1차선에 대하여 어떤 순간 단위 길이 내에 존재하는 차량수. 대/㎞로 표시한다. 외국어 표기 traffic density(영어), 交通密度(한자) 교통밀도군사용어사전 1㎞의 노상에 점유하고 있는 평균 차량 수로써 매 ㎞당 차량 수로 표시함. 외국어 표기 交通密度(한자), Traffic Density(영어)"
"레이돔 [radome, radar dome, blister]","레이돔항공우주공학용어사전 레이더 안테나 덮개. 기상용 레이더·도프레이더·적 탐색용 레이더 등의 안테나를 수납 정형하는 덮개. 안테나를 강한 풍압에서 보호하기 위한 것으로 그 재질은 전기절연체이다. 외국어 표기 radome(영어) 레이돔전기용어사전 레이더 돔을 이르는 것으로, 레이더의 공중선계를 넣는 둥근 유전체 건물 또는 덮개를 말한다..."
"고장 [failure, down, 故障]","고장군사용어사전 1. 총포 또는 탄약의 불완전 작용으로 기인한 우발적인 사격중단, 또는 총포, 탄약, 기계 등의 불완전한 작용. 2. 제트엔진의 이물질 흡입으로 인한 엔진 파손. 외국어 표기 故障(한자), stoppage(영어), foreign objective damage(영어) 고장컴퓨터인터넷IT용어대사전 시스템이 정상으로 동작하지 않는 상태. 컴퓨터 등의 기기가 고장나..."
"방어구역 [defense sector, sector, 防禦區域]",방어구역군사용어사전 1. 어떤 부대가 작전을 실시하고 지역 책임을 지도록 전투지경선에 의해 명시된 방어지역. 2. 어떤 부대가 작전을 실시하고 지역책임을 지도록 전투지경선에 의해서 명시된 방어지역. 3. 정면과 종심으로 이루어진 한 부대가 담당하는 지역. 방어구역군사용어사전 부대가 행동하고 또한 책임을 지는 방어구역으로 경계로서 표...
델린저현상,"델린거 현상전기용어사전 단파통신이 갑자기 장해를 받아 단시간 동안 수신 전계강도가 저하 또는 모두 두절해 버리는 현상을 말한다. 1935년에 J.H. Dellinger가 이 현상을 발견하여 특히 그것이 태양 자전주기의 2배인 55일마다 일어나는 경향이 있다는 것을 지적하였다. 외국어 표기 Dellinger phenomena(영어), -現象(한자) 델린저 현상천문학 작은..."
퀴리,큐리해양과학용어사전 방사능 또는 방사성물질의 방사량을 표시하는 단위. 1Ci는 초당 3.7×1010의 붕괴를 유발하는 방사능 양으로서 1g의 라듐이 방사하는 입자의 수. 실제로는 mCi 또는 Ci의 단위가 흔히 사용되며 폴란드계 프랑스 물리학자 Maria Sklodowska Curie(1867~1934)에서유래. 외국어 표기 curie(영어) 약어 Ci 퀴리영양학사전 방사능을...
핵융합,"핵융합매일경제 핵융합이란 사전적으로는 가벼운 몇 개의 원자핵이 핵반응으로 결합하여 무거운 원자핵으로 되는 것을 뜻하는 말이다. 그러나 현실에서는 수소폭탄을 만드는 과정으로 이해되고 있는 말이다. 핵융합은 수소, 중수소, 3중수소 등 가벼운 원자핵끼리 융합하여 거대한 에너지를 방출하는 현상이다. 핵분열이 ‘제3의불’이라 불리듯이 핵..."
"부대이동 [部隊移動, Troop Movement]","부여된 임무를 수행하기 위하여 전투력을 유지한 상태로 부대를 요구하는 시간과 장소에 위치시키는 것을 말하며 전술적 부대이동과 행정적 부대이동으로 분류되며, 형태에 따라 육상이동, 해상이동, 공중이동으로 구분함. 육상이동은 이동수단에 따라 도보이동, 차량이동, 철도이동 등으로 구분함."
"주도권 [主導權, Initiative]",작전의 성공을 위해 아군에 유리한 상황을 조성해 나감으로써 아군이 원하는 방향으로 전투를 이끌어 가는 능력.
"난외주기 [欄外註記, Marginal Data]","지도, 도표, 사진 등의 여백에 내용을 이해하는 데 참고가 될 만한 자료를 표시해 놓은 기호나 문자."
"평균탄착점 [平均彈着點, Mean Point of Impact]",주어진 조건하에서 동일 조준점으로 발사 또는 투사된 모든 탄착점간의 기하학적 중심점.
교회법,"교회법토목용어사전 평판 측량에 있어서 2 또는 3의 방향선에 의해 구하는 측점(測點)의 위치를 평판상에 도시하는 방법. 전방 교회법, 측방 교회법, 후방 교회법의 세 가지로 나누어진다. 외국어 표기 method of intersection and resection(영어), 交會法(한자) 교회법군사용어사전 2개 이상 기지점으로부터 알고자 하는 지점의 방위각을 측정함으..."
낙하산,"낙하산항공우주공학용어사전 1) 항공기 등에 실린 사람이나 물체를 공중에서 지상으로 안전하게 내려 보낼 때 쓰이는 우산 모양의 기구. 2) 비행 중의 항공기에서 안전하고 긴급하게 탈출, 강하하기 위한 용구. 외국어 표기 parachute(영어) 낙하산군사용어사전 공중에서 낙하하는 물체의 낙하속도를 공기에 의한 저항력으로 감소시키기 위..."
"대대 야외종합훈련 [大隊 野外綜合訓練, battalion consolidated field training]","보병, 포병, 기갑, 공병부대가 통상 1~2주 동안 전 부대원을 참가시켜 소부대 및 대대전술 위주 훈련을 집중적으로 완성하도록 실시하는 훈련."
"점령지역 [占領地域, Occupied Area]","점령지역은 점령군의 권한과 실질적인 통제하에 있는 영토를 말함. 민사협정에 따라 초청된 군대의 주둔이나 배치된 지역은 점령지가 아니며, 강화조약에 따라 통치·합방되는 지역은 점령지역이라 부르지 않음."
"구급대 [救急袋, first-aid packet]",각 전투원의 상의 호주머니에 휴대하고 다니는 주머니.
"병력 [兵力, strength]","군대에 속하는 인원수로, 어느 시각 또는 기간 중의 현재원 수."
"수직이착륙 항공기 [垂直離着陸航空機, Vertical Takeoff and Landing]","기존 활주로의 설비 없이 수직으로 이착륙할 수 있는 고정익 항공기로서, 특히 상륙작전시 내륙으로의 진전에 따라 상륙목표 지역 내의 우군지역에서 활주로 설치 없이 이착륙하여 근접항공지원 및 정찰을 실시하는 항공기."
"진내사격 [陣內射擊, Fires within the Position]",방어사격의 한 형태로서 돌파의 제한 또는 역습을 지원하기 위한 전투진지 내에 계획된 사격.
"계략 [計略, Ruse]",기만작전의 한 방법으로 아군의 허위첩보를 고의적으로 적에게 전달하여 적을 기만하는 방법으로 전장에서 단순한 전술적인 속임수에서부터 전략적 제대의 속임수까지 포함될 수 있음.
"고저선 [高低線, line of site]",탄도의 원점과 목표를 통하는 직선.
레포타 [Radar Equipment Providing Omnidirectional Reporting of Targets at Extend Ranges],"저고도 탐지레이더의 일종으로 고도 15~5,000m로 비행하는 표적을 40㎞까지 탐지할 수 있으며 자동추적 및 피아식별이 가능하고, 표적제원 수신기를 통하여 저고도 표적에 대한 조기경보 제원을 단거리 대공화기의 사격단위까지..."
"맹목방송 [盲目放送, Blind Broadcasting]",특전지휘소로부터 전개된 작전제대에 일방적으로 송신하는 통신방법으로서 작전제대가 응답전파를 송신치 않기 때문에 보안성이 증가되며 가장 안전한 통신기술의 하나임. 민간방송국의 방송시설을 이용할 수도 있고 군부대 자체의 통신시설을 이용할 수도 있음.
"야전교범 [野戰敎範, Field Manual]","군사교육 및 작전에 관한 지시, 첩보 및 원칙 사항과 참고자료가 기술되어 있는 교리문헌."
"연습 [演習, Exercise]","1. 군사적 이동이나 모의전투 등을 통해 전투 및 군수지원에 관한 교리를 적용하여 전술적 상황을 해결하는 숙달훈련. 계획, 준비, 실시를 모두 포함하여 훈련 및 평가목적으로 실시되는 연합, 합동, 단일부대훈련을 총칭하는 말. 2. 계획수립, 준비 및 실시를 포함한 군사기동 또는 모의 기동작전."
"인간정보 [人間情報, Human Intelligence]","인간자원에서 도출해 내는 정보범주. 이는 전술적으로 접촉에 의한 적접관찰부대, 기만, 포로획득, 서류, 장비, 장거리 정찰, 청음초 및 관측소, 군사 및 준군사부대와 접촉 그리고 최전선에 있는 우군부대의 보고에 의해 얻어지는 정보."
"전장 정보분석 [戰場情報分析, Intelligence Preparation of the Battlefield]",1. 장차 어떤 부대가 작전을 하게 될 예상지역에 대해서 평상시에 적 기상 및 지형에 관한 광범위한 자료를 수집하고 이 자료를 정밀 분석하여 작전에 미치는 영향을 판단하는 것으로서 누구나 쉽게 이해할 수 있고 적응할 수 있는 정...
"특수임무부대 [特殊任務部隊, Task Force]",1. 특정(特定)임무 또는 작전을 수행할 목적으로 단일 지휘관하에 잠정적으로 구성된 부대. 2. 계속적인 어떤 특수과업을 수행하기 위하여 단일 지휘관에 반영구적으로 편성된 부대.
"내무반 [內務班, section in barracks]",병사들이 기거하고 취침하는 병영 내의 방.
"정보분석조 [情報分析組, Intelligence Analysis Team]","국지도발 대비작전 정보를 분석하기 위하여 연대급이하 부대에 편성되는 조직체로서 수행하는 임무는 거수자의 신원을 식별, 유기물이나 침투단서를 발견 분석, 작전 전개 및 종결을 판단 건의, 원점을 보존, 차단작전 건의 등임."
"협동화력공격반 [協同火力攻擊班, Fire-Eagle]",육군 자체의 전투헬기와 지상화력을 통합하여 제병협동으로 지상 기동부대장 통제하에 적 기갑 및 기계화부대 공격임무를 수행하는 전투조직.
비파괴검사,비파괴검사원자력용어사전 기계나 장치의 일부를 철거하거나 손상을 주지 않고 행하는 검사로서 방사선·초음파·와전류(渦電流) 등이 사용된다. 강판의 용접부 검사에는 투과력이 큰 X선이나 γ선이 사용되고 있다. 특히 γ선은 복잡한 X선 발생장치를 필요로 하지 않으므로 일반적으로 많이 사용되고 있다. 선원으로는 높은 γ선 에너지를 발생하는 60C...
갤럭시 C-5 [Galaxy C-5],미공군의 초대형 수송기.
"낙하지점 [落下地點, drop zone]",낙하산부대의 착륙을 위해서 지휘관이 지정한 위치(지역)로 통상 적전선 후방에 있는 지역이 됨.
"무선항법유도 [無線航法誘導, Radio Navigation Guidance]",미사일을 목표물에 정확히 유도하기 위해 사용되는 통제기술로서 통상 1개 또는 2개 이상의 외부 송신소로부터 무선을 사용하여 미사일 항로의 고도 및 거리를 조정하여 유도함.
"반란군 [叛亂軍, insurgent troops]",반란을 일으킨 무장 부대.
"부대보충 [部隊補充, Unit Replacement]",편제상의 공석을 보충하기 위하여 예속되었거나 배속된 부대 중에서 대량피해로 무력화된 부대를 동등한 편성장비표를 가진 부대로 보충하는 것. 즉 어느 부대 전체를 대치시키는 보충방법임.
"사계 [射界, Field of Fire]",1. 지정된 진지로부터 어떤 무기가 사격함으로써 유효하게 제압할 수 있는 지역. 2. 주어진 진지에서 하나 또는 다량의 화기를 사용하여 효과적으로 엄호할 수 있는 지역. 3. 한 화기를 고정된 위치에서 사격할 수 있는 범위.
"유연반응전략 [柔軟反應戰略, Flexible Response Strategy]","전면적인 열 핵전쟁에서부터 침투, 전복 등 게릴라 분쟁에 이르기까지의 모든 분야의 가능한 도전에 대해 효과적으로 적절히 대응할 수 있는 능력(확전을 피하면서 억제와 방위를 달성할 수 있는 공격능력과 방어능력을 보유)에 입각한 전략. 적의 침략의도를 억제하고, 전쟁이 발발했을 때는 적의 태도에 따라 유연한 방법(수단, 무기)으로 대처하며, 전..."
"장갑정찰공수 돌격차량 [裝甲偵察空輸 突擊車輛, armored reconnaissance airborne assault vehicle]",기동성있는 경장갑 완전궤도차량으로 보병작전 및 공정작전에서 주요한 정찰차량으로서 사용되고 또한 공정부대의 주요한 공격무기로도 사용됨.
"정밀공격 [精密攻擊, Deliberate Attack]",잘 준비(편성)된 진지를 점령하고 있는 강력한 적부대에 대하여 실시하는 공격작전.
"항공로 [航空路, air way]","관제지역 또는 그 일부로, 무전항법시설에서 지시된 회랑의 형태로 설정됨."
"가족비판회 [家族批判會, Family sriticism session]",북한에서 실시한 가정혁명화 일환으로 선전원이 주재하는 가족회의에 참석하여 자아비판을 통해 가족들 앞에서 당에 대한 충성심을 실증하는 비판회의.
"고지 [高地, elevated ground, high ground]",1. 평지보다 높은 곳 또는 산을 일컫는 군사 용어. 2. 일반적으로 저지대의 대칭어로 사용되는 높은 지대. 3. 높은 곳인 산을 의미하며 통상 군사적으로 소부대의 목표가 됨.
"공통보급지원 [共通補給支援, Common Supply Support]","각군이 공통적으로 군 임무수행을 위하여 필요로 하는 국방공통물자나 장비를 지원군 책임 하에 자군 및 타군의 사용부대에 공급(보급 5대 활동; 청구, 수령, 저장, 분배, 처리)해 주는 것."
"낙하차륜 [落下車輪, drop wheels]",항공기의 예행이륙이나 지상운반에 필요하나 공중에서는 불필요함으로 항공기가 이륙하면 떨어져 나가는 차륜을 말함.
"무장거리 [武裝距離, arming range]",포병용어로 신관이 무장하기 시작하는 거리.
"방공포병 [防空砲兵, Air Defense Artillery]",지상에서 공중표적과 적극적으로 교전할 수 있는 화기와 지원장비를 포함한 지상무기를 운영하는 공군 전투병과 중의 하나.
"백색경보 [白色警報, air defense warning white, air flash white]","1. 적기나 적 유도탄의 공격이 끝났거나 당분간 없을 것으로 예상되거나 공격가능성이 희박할 때 하달하는 방공경보. 2. 공습(경계)경보해제. 3. 적기가 공습을 끝내고 돌아갔거나, 또는 공습의 위험이 없는 상태를 나타내는 경보. 4. 적..."
"번호병원 [番號病院, numbered hospital]","작전지대 운용 목적의 번호를 가진 병원으로서 기지병원, 일반병원, 후송병원 등이 있음."
"병교육 [兵敎育, EM training]","투철한 군인정신과 강인한 체력 및 불굴하는 투지를 배양하여 군인으로서의 기본자질을 부여하고 군사기초훈련 및 특기교육을 통하여 부대 구성원으로서, 임무수행 능력을 부여할 목적으로 실시하며, 신병양성 교육 및 특기병 양성교육 등이 있음."
"삼중방어개념 [三重防禦槪念, triple line defense concept]","주요 핵심시설의 기습방지와 방어종심을 증가하기 위하여 주요시설 방어지역을 정찰 및 감시지역, 전방방어지역, 주 방어지역으로 구분하고, 주 방어지역을 다시 추진경계진지, 주 방어선, 내곽방어선으로 편성한 방어개념."
"수포작용제 [水泡作用劑, Blister Agent]","피부에 작용함으로써 수포를 형성하고 소화기, 눈, 호흡기 계통에 대해서도 특성을 나타내는 작용제. 이는 사람을 살해하기 위한 것보다 부상을 입혀 전투력을 약화시키고, 적의 보급품 또는 시설물의 사용을 제한시키기 위한 오염목적으로 사용됨."
"일제사격 [一齊射擊, Salvo]","1. 동일부대에서 2문 이상의 포가 동일한 표적을 동시에 사격하는 방법. 2. 근접항공지원, 공중 후방차단작전시 특정형 무기의 전부를 동시에 투하 또는 사격하는 것."
"작전각단계의 작전개념 [作戰各段階-作戰槪念, phased concept of operation]",기본적인 계획을 실시하는 데 있어서 예상되는 군사행위 계획의 일반적 시간단계. 이는 계략적이며 차후 작전의 발전과 계획의 단축을 위한 개념임.
"적전비행 [敵前非行, misbehavior before the enemy]",군법으로 규정된 행위를 적전에서 행하여 적을 이롭게 하는 모든 행위.
"전군방공경보망 [全軍防空警報網, Whole Army Air Defense Warning Net]",방공경보수신기가 인가 및 보급된 전 부대에 방공경보를 전파하기 위한 통신망.
"전면포위 [全面包圍, Encirclement]",2개 이상의 포위부대에 의하여 적의 측방과 후방을 완전히 차단한 후 적의 주위를 둘러싸고 적을 공격하는 포위형태임.
"전투조준 [戰鬪照準, combat sighting]",전차의 주포에 약정된 탄약을 장전하고 사격통제 장치에 예정 사거리와 탄종을 표시한 상태.
"정보체계 [情報體系, Information System]","모든 정보의 수집, 생산, 전파, 활용, 관리를 유기적으로 연결, 통합하여 최적화하는 과학적 수단(전산과 통신기술)과 조직, 절차, 시설의 통합체."
